timestamp,battery_voltage,battery_current,min_cell_voltage,max_cell_voltage,remain,soc,duty,battery_average_temp,battery_max_temp,pcb_average_temp,pcb_max_temp,cell_id_0,cell_id_1,cell_id_2,cell_id_3,cell_id_4,cell_id_5,cell_id_6,cell_id_7,cell_id_8,cell_id_9,cell_id_10,cell_id_11
1732017525.250119,46.1653,1.871,,,,,,,,,,,,,,,,,,,,,
1732017525.250896,,,3.8203,3.8877,,,,,,,,,,,,,,,,,,,
1732017525.2510235,,,,,0,218,0,,,,,,,,,,,,,,,,
1732017525.2510808,,,,,,,,24,25,38,38,,,,,,,,,,,,
1732017525.251129,,,,,,,,,,,,3.86,3.86,3.88,3.86,,,,,,,,
1732017525.251474,,,,,,,,,,,,,,,,3.87,3.86,3.8200000000000003,3.8200000000000003,,,,
1732017525.2525158,,,,,,,,,,,,,,,,,,,,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003
1732017525.802491,46.1653,1.863,,,,,,,,,,,,,,,,,,,,,
1732017525.8025951,,,3.8203,3.8877,,,,,,,,,,,,,,,,,,,
1732017525.8031752,,,,,0,218,0,,,,,,,,,,,,,,,,
1732017525.803262,,,,,,,,24,25,38,38,,,,,,,,,,,,
1732017525.8036351,,,,,,,,,,,,3.86,3.86,3.88,3.86,,,,,,,,
1732017525.8037043,,,,,,,,,,,,,,,,3.87,3.86,3.8200000000000003,3.8200000000000003,,,,
1732017525.8041394,,,,,,,,,,,,,,,,,,,,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003
1732017526.3555884,46.1653,1.869,,,,,,,,,,,,,,,,,,,,,
1732017526.3556693,,,3.8203,3.8877,,,,,,,,,,,,,,,,,,,
1732017526.3557189,,,,,0,217,0,,,,,,,,,,,,,,,,
1732017526.3564327,,,,,,,,24,25,38,38,,,,,,,,,,,,
1732017526.3565335,,,,,,,,,,,,3.86,3.86,3.88,3.86,,,,,,,,
1732017526.356609,,,,,,,,,,,,,,,,3.87,3.86,3.8200000000000003,3.8200000000000003,,,,
1732017526.3571324,,,,,,,,,,,,,,,,,,,,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003
1732017526.9076395,46.1655,1.891,,,,,,,,,,,,,,,,,,,,,
1732017526.907749,,,3.8202000000000003,3.8876000000000004,,,,,,,,,,,,,,,,,,,
1732017526.9081593,,,,,0,217,0,,,,,,,,,,,,,,,,
1732017526.9089422,,,,,,,,24,25,38,38,,,,,,,,,,,,
1732017526.9090128,,,,,,,,,,,,3.86,3.86,3.88,3.86,,,,,,,,
1732017526.9090683,,,,,,,,,,,,,,,,3.87,3.86,3.8200000000000003,3.8200000000000003,,,,
1732017526.909099,,,,,,,,,,,,,,,,,,,,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003
1732017527.460473,46.1655,1.8820000000000001,,,,,,,,,,,,,,,,,,,,,
1732017527.461283,,,3.8202000000000003,3.8876000000000004,,,,,,,,,,,,,,,,,,,
1732017527.461385,,,,,0,216,0,,,,,,,,,,,,,,,,
1732017527.4614189,,,,,,,,24,25,38,38,,,,,,,,,,,,
1732017527.461448,,,,,,,,,,,,3.86,3.86,3.88,3.86,,,,,,,,
1732017527.461496,,,,,,,,,,,,,,,,3.87,3.86,3.8200000000000003,3.8200000000000003,,,,
1732017527.4615235,,,,,,,,,,,,,,,,,,,,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003
1732017528.0125153,46.1655,1.866,,,,,,,,,,,,,,,,,,,,,
1732017528.0128076,,,3.8202000000000003,3.8876000000000004,,,,,,,,,,,,,,,,,,,
1732017528.0128484,,,,,0,216,0,,,,,,,,,,,,,,,,
1732017528.013462,,,,,,,,24,25,38,38,,,,,,,,,,,,
1732017528.013526,,,,,,,,,,,,3.86,3.86,3.88,3.86,,,,,,,,
1732017528.013997,,,,,,,,,,,,,,,,3.87,3.86,3.8200000000000003,3.8200000000000003,,,,
1732017528.0142264,,,,,,,,,,,,,,,,,,,,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003
1732017528.5648465,46.1655,1.883,,,,,,,,,,,,,,,,,,,,,
1732017528.5649025,,,3.8202000000000003,3.8876000000000004,,,,,,,,,,,,,,,,,,,
1732017528.5654306,,,,,0,215,0,,,,,,,,,,,,,,,,
1732017528.5654716,,,,,,,,24,25,38,38,,,,,,,,,,,,
1732017528.5657816,,,,,,,,,,,,3.86,3.86,3.88,3.86,,,,,,,,
1732017528.5663555,,,,,,,,,,,,,,,,3.87,3.86,3.8200000000000003,3.8200000000000003,,,,
1732017528.5664043,,,,,,,,,,,,,,,,,,,,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003
1732017529.1175425,46.165800000000004,1.8780000000000001,,,,,,,,,,,,,,,,,,,,,
1732017529.1175902,,,3.8203,3.8877,,,,,,,,,,,,,,,,,,,
1732017529.1185513,,,,,0,215,0,,,,,,,,,,,,,,,,
1732017529.1186275,,,,,,,,24,25,38,38,,,,,,,,,,,,
1732017529.1186604,,,,,,,,,,,,3.86,3.86,3.88,3.86,,,,,,,,
1732017529.1187477,,,,,,,,,,,,,,,,3.87,3.86,3.8200000000000003,3.8200000000000003,,,,
1732017529.1195083,,,,,,,,,,,,,,,,,,,,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003
1732017529.6702645,46.165800000000004,1.8880000000000001,,,,,,,,,,,,,,,,,,,,,
1732017529.6704693,,,3.8203,3.8877,,,,,,,,,,,,,,,,,,,
