timestamp,battery_voltage,battery_current,min_cell_voltage,max_cell_voltage,remain,soc,duty,battery_average_temp,battery_max_temp,pcb_average_temp,pcb_max_temp,cell_id_0,cell_id_1,cell_id_2,cell_id_3,cell_id_4,cell_id_5,cell_id_6,cell_id_7,cell_id_8,cell_id_9,cell_id_10,cell_id_11
1732017459.8618956,46.167100000000005,1.875,,,,,,,,,,,,,,,,,,,,,
1732017459.8623908,,,3.8202000000000003,3.8879,,,,,,,,,,,,,,,,,,,
1732017459.8625212,,,,,0,21,0,,,,,,,,,,,,,,,,
1732017459.8629274,,,,,,,,24,24,38,38,,,,,,,,,,,,
1732017459.8632686,,,,,,,,,,,,3.86,3.86,3.88,3.86,,,,,,,,
1732017459.8633423,,,,,,,,,,,,,,,,3.87,3.86,3.8200000000000003,3.8200000000000003,,,,
1732017459.8640058,,,,,,,,,,,,,,,,,,,,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003
1732017460.414803,46.167100000000005,1.87,,,,,,,,,,,,,,,,,,,,,
1732017460.415298,,,3.8202000000000003,3.8879,,,,,,,,,,,,,,,,,,,
1732017460.4153497,,,,,0,21,0,,,,,,,,,,,,,,,,
1732017460.415383,,,,,,,,24,24,38,38,,,,,,,,,,,,
1732017460.4156444,,,,,,,,,,,,3.86,3.86,3.88,3.86,,,,,,,,
1732017460.4158893,,,,,,,,,,,,,,,,3.87,3.86,3.8200000000000003,3.8200000000000003,,,,
1732017460.4164324,,,,,,,,,,,,,,,,,,,,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003
1732017460.967407,46.167100000000005,1.871,,,,,,,,,,,,,,,,,,,,,
1732017460.9674819,,,3.8202000000000003,3.8879,,,,,,,,,,,,,,,,,,,
1732017460.9679513,,,,,0,20,0,,,,,,,,,,,,,,,,
1732017460.968111,,,,,,,,24,24,38,38,,,,,,,,,,,,
1732017460.9681616,,,,,,,,,,,,3.86,3.86,3.88,3.86,,,,,,,,
1732017460.9686124,,,,,,,,,,,,,,,,3.87,3.86,3.8200000000000003,3.8200000000000003,,,,
1732017460.9686854,,,,,,,,,,,,,,,,,,,,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003
1732017461.273669,46.1668,1.862,,,,,,,,,,,,,,,,,,,,,
1732017461.2741876,,,3.8202000000000003,3.8879,,,,,,,,,,,,,,,,,,,
1732017461.274243,,,,,0,18,0,,,,,,,,,,,,,,,,
1732017461.2743928,,,,,,,,24,24,38,38,,,,,,,,,,,,
1732017461.2748716,,,,,,,,,,,,3.86,3.86,3.88,3.86,,,,,,,,
1732017461.274947,,,,,,,,,,,,,,,,3.87,3.86,3.8200000000000003,3.8200000000000003,,,,
1732017461.2752185,,,,,,,,,,,,,,,,,,,,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003
1732017461.8261595,46.166900000000005,1.874,,,,,,,,,,,,,,,,,,,,,
1732017461.8268635,,,3.8203,3.8879,,,,,,,,,,,,,,,,,,,
1732017461.8269694,,,,,0,18,0,,,,,,,,,,,,,,,,
1732017461.827023,,,,,,,,24,24,38,38,,,,,,,,,,,,
1732017461.8273063,,,,,,,,,,,,3.86,3.86,3.88,3.86,,,,,,,,
1732017461.8276844,,,,,,,,,,,,,,,,3.87,3.86,3.8200000000000003,3.8200000000000003,,,,
1732017461.8278,,,,,,,,,,,,,,,,,,,,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003
1732017462.3788257,46.166900000000005,1.8780000000000001,,,,,,,,,,,,,,,,,,,,,
1732017462.379159,,,3.8203,3.8879,,,,,,,,,,,,,,,,,,,
1732017462.3797266,,,,,0,17,0,,,,,,,,,,,,,,,,
1732017462.3797925,,,,,,,,24,24,38,38,,,,,,,,,,,,
1732017462.3798277,,,,,,,,,,,,3.86,3.86,3.88,3.86,,,,,,,,
1732017462.3798742,,,,,,,,,,,,,,,,3.87,3.86,3.8200000000000003,3.8200000000000003,,,,
1732017462.3802757,,,,,,,,,,,,,,,,,,,,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003
1732017462.9308176,46.166900000000005,1.871,,,,,,,,,,,,,,,,,,,,,
1732017462.9310575,,,3.8203,3.8879,,,,,,,,,,,,,,,,,,,
1732017462.9314263,,,,,0,17,0,,,,,,,,,,,,,,,,
1732017462.93187,,,,,,,,24,24,38,38,,,,,,,,,,,,
1732017462.9323258,,,,,,,,,,,,3.86,3.86,3.88,3.86,,,,,,,,
1732017462.9323876,,,,,,,,,,,,,,,,3.87,3.86,3.8200000000000003,3.8200000000000003,,,,
1732017462.9328697,,,,,,,,,,,,,,,,,,,,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003
1732017463.484888,46.166900000000005,1.859,,,,,,,,,,,,,,,,,,,,,
1732017463.484948,,,3.8203,3.8879,,,,,,,,,,,,,,,,,,,
1732017463.4849741,,,,,0,16,0,,,,,,,,,,,,,,,,
1732017463.4854498,,,,,,,,24,24,38,38,,,,,,,,,,,,
1732017463.4855156,,,,,,,,,,,,3.86,3.86,3.88,3.86,,,,,,,,
1732017463.4857368,,,,,,,,,,,,,,,,3.87,3.86,3.8200000000000003,3.8200000000000003,,,,
1732017463.4857807,,,,,,,,,,,,,,,,,,,,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003
1732017464.037128,46.1667,1.865,,,,,,,,,,,,,,,,,,,,,
1732017464.0371888,,,3.8203,3.8878000000000004,,,,,,,,,,,,,,,,,,,
